분류,품명,규격,수수료,데이터기준일자
가구류,장롱,폭120cm이상1쪽,15000,2026-01-16
가구류,장롱,폭120cm미만1쪽,10000,2026-01-16
가구류,문갑,,3000,2026-01-16
가구류,화장대,거울포함,5000,2026-01-16
가구류,화장대,거울미포함,3000,2026-01-16
가구류,"장식장, 진열장",1㎡이상,6000,2026-01-16
가구류,"장식장, 진열장",1㎡미만,3000,2026-01-16
가구류,서랍장,5단이상,5000,2026-01-16
가구류,서랍장,4단이하,3000,2026-01-16
가구류,책장,5단이상,5000,2026-01-16
가구류,책장,4단이하,3000,2026-01-16
가구류,책장,박스형(공간박스1개당),1000,2026-01-16
가구류,신발장,높이 150cm 이상,4000,2026-01-16
가구류,신발장,높이 150cm 미만,2000,2026-01-16
가구류,책상,양수(대형),5000,2026-01-16
가구류,책상,편수(소형),4000,2026-01-16
가구류,책상,"h형책상(상판,책장,서랍 포함)",10000,2026-01-16
가구류,책상,학원용책상,2000,2026-01-16
가구류,책상,책상상판,3000,2026-01-16
가구류,책꽂이,,3000,2026-01-16
가구류,캐비넷,,4000,2026-01-16
가구류,화일캐비넷,4단이상,4000,2026-01-16
가구류,화일캐비넷,3단이하,3000,2026-01-16
가구류,옷걸이,,2000,2026-01-16
가구류,쇼파,대형 4인이상(분리되는 개당),8000,2026-01-16
가구류,쇼파,2～3인용(분리되는 개당),5000,2026-01-16
가구류,쇼파,1인용(분리되는 개당),3000,2026-01-16
가구류,의자,장의자(4인용),8000,2026-01-16
가구류,의자,보조의자(2～3인용),3000,2026-01-16
가구류,의자,1인 회전의자,3000,2026-01-16
가구류,의자,1인 일반의자,2000,2026-01-16
가구류,의자,안마의자,7000,2026-01-16
가구류,"침대 (매트리스, 틀 포함)",2인용,15000,2026-01-16
가구류,"침대 (매트리스, 틀 포함)",1인용,10000,2026-01-16
가구류,"침대 (매트리스, 틀 포함)",유아용,6000,2026-01-16
가구류,매트리스,2인용,8000,2026-01-16
가구류,매트리스,1인용,5000,2026-01-16
가구류,매트리스,유아용,3000,2026-01-16
가구류,침대틀,2인용,7000,2026-01-16
가구류,침대틀,1인용,5000,2026-01-16
