번호,수거품목명,수거품목설명,수거품목금액,데이터기준일자
1,가전제품류,,,2025-07-21
2,가구류,,,2025-07-21
3,기타류,,,2025-07-21
4," 냉장고,김치냉장고", 업소용,20000,2025-07-21
5," 냉장고,김치냉장고", 양문형 (700ℓ이상),11000,2025-07-21
6," 냉장고,김치냉장고", 500ℓ이상,9000,2025-07-21
7," 냉장고,김치냉장고", 300ℓ이상,7000,2025-07-21
8," 냉장고,김치냉장고", 300ℓ미만,5000,2025-07-21
9, 텔레비전, 42인치 이상,7000,2025-07-21
10, 텔레비전,42인치 미만,5000,2025-07-21
11," 세탁기,건조기",10KG 이상,8000,2025-07-21
12, 공기청정기,1m 이상,5000,2025-07-21
13, 공기청정기,1m 미만,2000,2025-07-21
14,청소기,업소용,3000,2025-07-21
15, 탈수기,가정용,3000,2025-07-21
16,탈수기,업소용,5000,2025-07-21
17,정수기,스탠드형,5000,2025-07-21
18, 정수기,탁상형,3000,2025-07-21
19,식기세척기,1m 미만,3000,2025-07-21
20,에어컨(온풍기),265㎡ 이상,9000,2025-07-21
21,에어컨(온풍기),66㎡ 이상,6000,2025-07-21
22,에어컨(온풍기),66㎡ 미만,3000,2025-07-21
23,복사기,사무용,15000,2025-07-21
24,가스오븐레인지,높이 1m 이상,5000,2025-07-21
25,가스오븐레인지,높이 1m 미만,3000,2025-07-21
26,"가스, 전자 레인지",가정용,3000,2025-07-21
27,전기난로,업소용,4000,2025-07-21
28, 장롱(붙박이장 포함),폭 120cm 초과 1통,18000,2025-07-21
29,장롱(붙박이장 포함),폭90cm~폭120cm 1통,15000,2025-07-21
30,장롱 (붙박이장포함),폭90cm이하 1통,12000,2025-07-21
31, 식탁(상), 6인 이상,6000,2025-07-21
32, 식탁(상), 교자상 (1m*1m미만),2000,2025-07-21
33,식탁(상), 6인 미만,4000,2025-07-21
34, 대리석 식탁, 6인 미만,15000,2025-07-21
35,대리석 식탁,6인 이상,20000,2025-07-21
36, 의자, 사무실용(회전식) 1인,4000,2025-07-21
37, 의자, 안마의자,15000,2025-07-21
38,의자,"일반용, 식탁용 1인",2000,2025-07-21
39,소파,4인용,9000,2025-07-21
40,소파,3인용,7000,2025-07-21
41,소파,2인용,5000,2025-07-21
42,소파,1인용(스툴),3000,2025-07-21
43,소파,리클라이너 추가(1인당),3000,2025-07-21
44,책상,양수,7000,2025-07-21
45,책상,편수,5000,2025-07-21
46,책상,"h형(책상, 책꽃이)",7000,2025-07-21
47,책상,유아용 책상,3000,2025-07-21
48,책상,협탁(보조책상),2000,2025-07-21
49,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭 60cm이상, 높이 180cm이상",6000,2025-07-21
50,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭 60cm 이상, 높이 120cm 이상",5000,2025-07-21
51,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭 60cm 이상, 높이 60cm 이상",4000,2025-07-21
52,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭 60cm 미만, 높이 180cm 이상",5000,2025-07-21
53,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭 60cm 미만, 높이 120cm 이상",4000,2025-07-21
54,"책장, 서랍장, 장식장, 캐비닛, 신발장",높이 60cm이상,3000,2025-07-21
55,"책장, 서랍장, 장식장, 캐비닛, 신발장","폭, 높이 각각 60cm 미만",2000,2025-07-21
56,"거실장(문갑, TV 받침)",목재 길이 1m 이상,6000,2025-07-21
57,"거실장(문갑, TV 받침)",목재 길이 1m 미만,4000,2025-07-21
58,"거실장 (문갑,  TV 받침)","대리석, 길이 1m 이상",15000,2025-07-21
59,"거실장 (문갑,  TV 받침)","대리석, 길이 1m 미만",10000,2025-07-21
60,탁자,원목 길이 1m 미만,3000,2025-07-21
61, 피아노, 그랜드,18000,2025-07-21
62, 피아노, 업라이트,12000,2025-07-21
63, 피아노,디지털,5000,2025-07-21
64,피아노,오르간,5000,2025-07-21
65,전기장판(온수매트), 2인 이상,3000,2025-07-21
66,전기장판(온수매트),1인용,2000,2025-07-21
67, 옥매트, 2인 이상,5000,2025-07-21
68," 모노륨,카펫,장판", 10kg 당,2000,2025-07-21
69, 보행기, 모든 규격,3000,2025-07-21
70,전기장판(온수매트),온수통,1000,2025-07-21
71," 인형, 장난감류", 3kg 당,2000,2025-07-21
72, 놀이기구,"미끄럼틀,놀이집 등",5000,2025-07-21
73, 보일러통, 대형,9000,2025-07-21
74, 보일러통, 중형,6000,2025-07-21
75, 보일러통, 소형,3000,2025-07-21
76, 고무통, 높이 1m 미만,2000,2025-07-21
77, 고무통, 높이 1m 이상,5000,2025-07-21
78, 골프채, 모든 규격,1000,2025-07-21
79,벽시계, 1m 이상,3000,2025-07-21
80,벽시계,1m 미만,2000,2025-07-21
81,액자,1m 이상,3000,2025-07-21
82,액자,1m 미만,2000,2025-07-21
83,거울,1m 이상,3000,2025-07-21
84,거울,1m 미만,2000,2025-07-21
85, 블라인드, 모든 규격,3000,2025-07-21
86, 칸막이(파티션), 모든 규격,4000,2025-07-21
87, 가방," 골프,낚시용",3000,2025-07-21
88, 가방, 여행용,3000,2025-07-21
89, 가방, 일반용,2000,2025-07-21
90,"스키, 인라인 세트", 모든 규격,3000,2025-07-21
91, 아이스박스, 모든 규격,3000,2025-07-21
92, 수족관, 1m*2m 이상,9000,2025-07-21
93, 수족관, 1m*1m 이상,5000,2025-07-21
94, 수족관, 1m 미만,3000,2025-07-21
95, 변기, 양변기,8000,2025-07-21
96, 변기, 좌변기,5000,2025-07-21
97, 세면대, 모든 규격,3000,2025-07-21
98, 물탱크(저수조), 1톤당,10000,2025-07-21
99, 헬맷, 모든 규격,1000,2025-07-21
100,볼링공, 모든 규격,2000,2025-07-21
101, 마네킹, 모든 규격,5000,2025-07-21
102, 파렛트, 모든 규격,3000,2025-07-21
103," 화환, 조화", 모든 규격,5000,2025-07-21
104, PVC관 (흉관), 1kg당,1000,2025-07-21
105, 천막 보온덮개, 10kg당,5000,2025-07-21
106, 유리,"가로,세로 1.5m 이상",4000,2025-07-21
107, 유리,"가로,세로 1.5m 미만",3000,2025-07-21
108,"돗자리(대자리,텐트)",모든 규격,3000,2025-07-21
109, 자전거, 성인아동용(2발),4000,2025-07-21
110, 자전거, 유아용(2~3발),3000,2025-07-21
111,화분(흙 별도),50cm  이상,4000,2025-07-21
112,항아리,50cm 이상,4000,2025-07-21
113,이불,"하절기, 1인 베개",1000,2025-07-21
114,캣타워,모든규격,3000,2025-07-21
115,항아리,50cm 미만,2000,2025-07-21
116,침대 매트리스(라텍스 포함),"2인용(더블, 퀸, 킹)",9000,2025-07-21
117,쌀통,모든 규격,3000,2025-07-21
118,탁자,원목 길이 1m 이상,5000,2025-07-21
119,식기세척기,1m이상,4000,2025-07-21
120,의류관리기,모든규격,5000,2025-07-21
121,자동판매기,높이 1m 이상,12000,2025-07-21
122,자동판매기,높이 1m 미만,4000,2025-07-21
123,오락기,대형,8000,2025-07-21
124,오락기,소형,4000,2025-07-21
125,침대 틀(프레임),"1인용(싱글, 슈퍼싱글)",6000,2025-07-21
126,침대 매트리스(라텍스 포함),"1인용(싱글, 슈퍼싱글)",6000,2025-07-21
127,침대 매트리스(라텍스 포함),유아용,3000,2025-07-21
128,2층 침대(매트리스 포함),모든 규격,19000,2025-07-21
129,침대 틀(프레임),유아용,3000,2025-07-21
130,침대 틀(프레임),"2인용(더블, 퀸, 킹)",9000,2025-07-21
131,수족관,받침대,2000,2025-07-21
132,이불,"거위털, 오리털",2000,2025-07-21
133,욕조,성인용,5000,2025-07-21
134,욕조,유아용,4000,2025-07-21
135,욕조,반신욕기,4000,2025-07-21
136,욕조,족욕기,3000,2025-07-21
137,이불,"동절기, 솜이불",3000,2025-07-21
138,유아용 전동차,모든규격,5000,2025-07-21
139,간판,1m 이상 2m미만,8000,2025-07-21
140,간판,1m 미만,4000,2025-07-21
141,간판,입간판,2000,2025-07-21
142,간판,에어풍선,5000,2025-07-21
