대분류,품목,규격,수수료(원)
가구류,다리미판,가장긴면 90cm 미만,1000
가구류,다리미판,가장긴면 90cm 이상,2000
가구류,전자렌지대,120cm 이하,5000
가구류,전자렌지대,180cm 이하,7000
가구류,문갑,1m (1m 추가시마다 3000원),3000
가구류,문짝,1m 미만,2000
가구류,문짝,목재류,5000
가구류,밥상,80cm 이하,2000
가구류,밥상,80cm 초과,3000
가구류,소파,1인용 기준 (1인용 추가시마다 3000원),4000
가구류,소파,2인용,6000
가구류,소파,3인용 이하,7000
가구류,소파,4인용,10000
가구류,소파,6인용 이상,18000
가구류,리클라이너,1인용,8000
가구류,리클라이너,추가시마다,4000
가구류,의자,스툴(50cm),2000
가구류,의자,일반 1인용 (식탁/장의자/피아노),3000
가구류,의자,바퀴달린의자(일반),2000
가구류,의자,바퀴달린의자(대형/중역),4000
가구류,의자,흔들의자/바의자,5000
가구류,의자,유아용식탁의자,3000
가구류,장롱(옷장),가로 90cm 이하,13000
가구류,장롱(옷장),가로 120cm 이하,18000
가구류,서랍장,1단 (긴쪽 60cm 기준) 마다,1000
가구류,신발장,1m 미만,2000
가구류,신발장,1m 이상 (1m 추가시마다 2000원),4000
가구류,싱크대,1m 미만,4000
가구류,싱크대,1m 이상 (1m 추가시마다 2000원),6000
가구류,장식장(유리별도),1m 미만,4000
가구류,장식장(유리별도),1m 이상,6000
가구류,침대(프레임),싱글,6000
가구류,침대(프레임),싱글(수납형),7000
가구류,침대(프레임),더블,8000
가구류,침대(프레임),더블(수납형),9000
가구류,침대(프레임),2층침대(벙커형),15000
가구류,매트리스,싱글,5000
가구류,매트리스,더블,8000
가구류,매트리스,퀸/킹,10000
가구류,라텍스매트리스,1인용,7000
가구류,라텍스매트리스,2인용,11000
가구류,돌/흙침대,1인용,26000
가구류,돌/흙침대,2인용,36000
가구류,책상/화장대/책장,1m 미만,3000
가구류,책상/화장대/책장,1m 이상 (1m 추가시마다 2000원),4000
생활용품류,고무통(대야),높이/너비 60cm 미만,2000
생활용품류,고무통(대야),높이/너비 60cm 이상,4000
생활용품류,골프채,개당,500
생활용품류,금고(가정용),가장긴면 1m 미만,10000
생활용품류,금고(가정용),가장긴면 1m 이상,20000
생활용품류,기름탱크,400L 미만,8000
생활용품류,기름탱크,400L 이상,15000
생활용품류,난로,높이 1m 미만,2000
생활용품류,난로,높이 1m 이상,3000
생활용품류,대리석,m당,5000
생활용품류,도마,가정용 나무도마,2000
생활용품류,도마,업소용 나무도마,3000
생활용품류,도마,플라스틱,1000
생활용품류,마네킹,100cm 미만,2000
생활용품류,마네킹,100cm 이상,3000
생활용품류,마네킹,석고마네킹,5000
생활용품류,매트(PVC/층간소음),1m당,2000
생활용품류,목발,개당,500
생활용품류,목욕탕 수건함,거울 별도,2000
생활용품류,목재류,m당,2000
생활용품류,목재류,1톤당,10000
생활용품류,물탱크,두께 6cm 미만,5000
생활용품류,물탱크,두께 6cm 이상,8000
생활용품류,바둑판,일반,2000
생활용품류,바둑판,다리가 있는 경우,5000
생활용품류,배기후드,개당,2000
생활용품류,벽지,3.3㎡당,500
생활용품류,변기,소변기,2000
생활용품류,변기,소변기(대/가림막포함),3000
생활용품류,변기,좌변기(재래식),4000
생활용품류,변기,양변기,8000
생활용품류,병풍,폭당,1000
생활용품류,보일러,가정용,8000
생활용품류,보행기,모든규격,2000
생활용품류,볼링공,개당,1000
생활용품류,블라인드,1m당,2000
생활용품류,블라인드,1m당(우드),3000
생활용품류,비데,일반/전자식,2000
생활용품류,빨래건조대,접이식,2000
생활용품류,빨래건조대,이동식(바퀴),3000
생활용품류,세면대,다리 별도,3000
생활용품류,소화기,소형(3.3kg 이하),2000
생활용품류,소화기,중형(3.3kg 초과),3000
생활용품류,수도호스,10m당,1000
생활용품류,스키/스노보드,세트,2000
생활용품류,시계,지름 28cm 미만,2000
생활용품류,시계,높이 1m 이상,3000
생활용품류,쓰레기통,30L 미만,1000
생활용품류,쓰레기통,30L 이상,2000
생활용품류,쓰레기통,음식물(가정용),2000
생활용품류,쓰레기통,음식물(대형),5000
생활용품류,아이스박스,30L 미만,2000
생활용품류,아이스박스,30L 이상,3000
생활용품류,액자,50cm 이하,1000
생활용품류,액자,1m 이하,1500
생활용품류,어항(수족관),가정용 m당,4000
생활용품류,어항(수족관),업소용 m당,10000
생활용품류,온수기,높이 1m 이상,2000
생활용품류,욕조,플라스틱/유아용,3000
생활용품류,욕조,일반용,5000
생활용품류,우산,접이식,500
생활용품류,우산,장우산,1000
생활용품류,운동기구,스탭퍼/5kg이하,3000
생활용품류,운동기구,헬스자전거,6000
생활용품류,운동기구,기타 10kg 이하,7000
생활용품류,운동기구,런닝머신(수동),10000
생활용품류,유리,장당/m당,2000
생활용품류,유모차,휴대용,2000
생활용품류,유모차,디럭스/쌍둥이,3000
생활용품류,이불/대형쿠션,모든규격,2000
생활용품류,자전거,유아용(세발),2000
생활용품류,자전거,아동용(두발),3000
생활용품류,자전거,성인용,5000
생활용품류,장난감류,소형 50cm 미만,1000
생활용품류,장난감류,소형 50cm 이상,2000
생활용품류,장난감류,대형 90cm 미만,5000
생활용품류,장난감류,대형 90cm 이상,7000
생활용품류,장난감류,유아용 미끄럼틀/그네,3000
생활용품류,장난감류,유아용 전동차,7000
생활용품류,카시트,유아용,3000
가전제품류,TV,25인치 미만,3000
가전제품류,TV,25인치 이상,5000
가전제품류,TV,42인치 이상,7000
가전제품류,가스(오븐)레인지,일반(3구이하),2000
가전제품류,가스(오븐)레인지,높이 1m 미만,3000
가전제품류,가스(오븐)레인지,높이 1m 이상,5000
가전제품류,가스(오븐)레인지,전문업소용,7000
가전제품류,게임기,50cm 미만,3000
가전제품류,게임기,50cm 이상,6000
가전제품류,게임기,업소용(대형),11000
가전제품류,공기청정기,높이 1m 미만,3000
가전제품류,공기청정기,높이 1m 이상,4000
가전제품류,공기청정기,업소용(대형),10000
가전제품류,김치냉장고,130L 미만,4000
가전제품류,김치냉장고,300L 미만,6000
가전제품류,김치냉장고,300L 이상,8000
가전제품류,냉장고,300L 미만,5000
가전제품류,냉장고,500L 미만,8000
가전제품류,냉장고,500L 이상,11000
가전제품류,냉장고,양문형,15000
가전제품류,냉장고,업소용,25000
가전제품류,발마사지기,일반,3000
가전제품류,복사기/복합기,높이 1m 미만,5000
가전제품류,복사기/복합기,높이 1m 이상,10000
가전제품류,선풍기,가정용,3000
가전제품류,선풍기,업소용(스탠드),3000
가전제품류,세단기,높이 1m 이상,5000
가전제품류,세탁기,10kg 미만(일반),5000
가전제품류,세탁기,10kg 이상(일반),6000
가전제품류,세탁기,10kg 미만(드럼),8000
가전제품류,세탁기,10kg 이상(드럼),15000
가전제품류,식기건조기/세척기,가정용,3000
가전제품류,에어컨 실외기,가정용(벽걸이/스탠드),6000
가전제품류,에어컨 실외기,업소용(대형/천정형),10000
가전제품류,안마기/안마의자,핸드형,2000
가전제품류,안마기/안마의자,접이식 안마의자,5000
가전제품류,안마기/안마의자,대형 안마의자,20000
가전제품류,에어컨,벽걸이,4000
가전제품류,에어컨,천정형,7000
가전제품류,에어컨,스탠드,11000
가전제품류,에어컨,업소용(대형),15000
가전제품류,오디오,본체 높이 1m 이상,5000
가전제품류,오디오,스피커 높이 1m 미만,1000
가전제품류,오디오,전축/대형스피커,5000
가전제품류,자동판매기,소형/자가,13000
가전제품류,청소기,가정용,3000
가전제품류,컴퓨터,본체,3000
가전제품류,컴퓨터,모니터(20인치 이하),2000
가전제품류,컴퓨터,모니터(20인치 초과),3000
가전제품류,환풍기,업소용(대형),3000
기타,옥/자석/온수매트,1인용,5000
기타,옥/자석/온수매트,2인용,8000
기타,전기장판,1인용,4000
기타,전기장판,2인용,7000
기타,카펫/돗자리,3.3㎡당,4000
기타,재봉틀,모든규격,5000
기타,전기판넬,m당,5000
기타,정수기,높이 1m 이상,5000
기타,제기함,제기포함,5000
기타,조명기구,샹들리에/유리전등(1m이하),6000
기타,조명기구,플라스틱전등/유리전등(50cm이하),3000
기타,천막,가로+세로 1m당,1000
기타,캣타워,높이 60cm 미만,3000
기타,캣타워,높이 150cm 미만,5000
기타,커튼봉,1m당,1000
기타,킥보드,수동,2000
기타,텐트,4인용 미만,3000
기타,텐트,6인용 미만,4000
