,,,,,,,,,
대형생활폐기물 수집·운반수수료 품목별 부과기준,,,,,,,,,
,,,,,,,,,
품목별,세 부 품 목 별,규 격,부과금액,,,,,,
"가


전


제


품


류","DVD,비디오(VTR)",,면제,,,,,,
,TV,42인치 이상,"7,000",,,,,,
,,25인치 이상,"5,000",,,,,,
,,25인치 미만,"3,000",,,,,,
,가스 레인지,,면제,,,,,,
,가스오븐 렌지,높이 1m 이상,"5,000",,,,,,
,,높이 1m 미만,면제,,,,,,
,가 습 기,,면제,,,,,,
,게임기 오락기,전문 업소용,"12,000",,,,,,
,,50cm 이상,"5,000",,,,,,
,,50cm 미만 ,"3,000",,,,,,
,공 기 청 정 기,영업용,"15,000",,,,,,
,,가장긴면 1m이상,"4,000",,,,,,
,,가장긴면 1m미만,면제,,,,,,
,김 치 냉 장 고,130L 이상,"5,000",,,,,,
,,130L 미만,"3,000",,,,,,
,냉 장 고,영업용 (대형),"20,000",,,,,,
,,500L 이상,"10,000",,,,,,
,,300L 이상,"7,000",,,,,,
,,300L 미만,"5,000",,,,,,
,노트북 컴퓨터,,면제,,,,,,
,녹 즙 기,,면제,,,,,,
,다 리 미,,면제,,,,,,
,라 지 에 터,,"4,000",,,,,,
,모 뎀,,면제,,,,,,
,믹 서 기,,면제,,,,,,
,발마사지 기계,,면제,,,,,,
,보 온 밥 통,,면제,,,,,,
,복 사 기,영업용,"10,000",,,,,,
,(영업용프린터),높이 1m 이상,"5,000",,,,,,
,,높이 1m 미만,"3,000",,,,,,
,선 풍 기,업소용(스탠드형),"3,000",,,,,,
,,가정용,면제,,,,,,
,세 탁 기,10kg 이상,"4,000",,,,,,
,,10kg 이하,"3,000",,,,,,
,스 캐 너 ,,면제,,,,,,
,식 기 건 조 기,높이 1m 이상,"5,000",,,,,,
,,높이 1m 미만,면제,,,,,,
,식 기 세 척 기,높이 1m 이상,"5,000",,,,,,
,,높이 1m 미만,면제,,,,,,
,안 마 기,,"2,000",,,,,,
,안 마 의 자,,"10,000",,,,,,
,온 수 기,,"2,000",,,,,,
,에 어 컨,264㎡ 이상,"9,000",,,,,,
,,66㎡ 이상,"6,000",,,,,,
,,66㎡ 미만,"4,000",,,,,,
,에어컨 실외기,1m 이상,"2,000",,,,,,
,,1m 미만,면제,,,,,,
,오디오 본 체,본체 1m 이상,"4,000",,,,,,
,,본체 1m 미만,면제,,,,,,
,오디오 스피커,스피커 1m 이상,"1,000",,,,,,
,,스피커 1m 미만,면제,,,,,,
,온 풍 기,264㎡ 이상,"8,000",,,,,,
,,66㎡ 이상 ,"5,000",,,,,,
,,66㎡ 미만,"3,000",,,,,,
,자 동 판 매 기,음료 담배,"15,000",,,,,,
,,자가 소형,"3,000",,,,,,
,전 기 밥 솥,(보온밥솥),면제,,,,,,
,전 기 판 넬,3.3㎡당 ,"2,000",,,,,,
,전 기 히 터,,면제,,,,,,
,전 자 레 인 지,,면제,,,,,,
,전 자 시 계,,면제,,,,,,
,전화기_휴대폰,,면제,,,,,,
,정 수 기,높이 1m 이상,"4,000",,,,,,
,,높이 1m 미만,면제,,,,,,
,청 소 기,영업용,"4,000",,,,,,
,,가정용,면제,,,,,,
,카세트 라디오,,면제,,,,,,
,커 피 포 트,,면제,,,,,,
,컴 퓨 터,,면제,,,,,,
,컴퓨터 복합기,,면제,,,,,,
,컴퓨터 오락기,,면제,,,,,,
,컴퓨터 키보드,,면제,,,,,,
,탈 수 기,가정용,면제,,,,,,
,토 스 터 기 ,,면제,,,,,,
,팩 시 밀 리,사무용,"2,500",,,,,,
,,,면제,,,,,,
,팬 히 터,벽걸이형,"2,000",,,,,,
,프 린 터,가정용,면제,,,,,,
,헤어 드라이어,,면제,,,,,,
,환 풍 기,업소용(대형),"3,000",,,,,,
,,가정용,면제,,,,,,
,휴대폰 충전기,,면제,,,,,,
